kab/kota,kecamatan,kelurahan,tempat_ibadah,alamat,nama_pengurus,status_tanah,tahun_pendirian,bentuk_bangunan,sumber_biaya,peruntukkan_lahan,kepemilikkan,pemberi_Wakaf,daya_tampung,luas_bangunan,luas_tanah,kegiatan_lain
Jakarta Utara,Cilincing,Cilincing,Musholla Babus Salam,Jl. Cilingcing Rt. 001/06,Icang,Negara,1978,Permanen,,,,,,30,270,
Jakarta Utara,Cilincing,Cilincing,Musholla Jamiatul Ikhlas,Jl. Baru Gg IV Dalam No.20 Rt.006/02,Halimah,Negara,1981,Permanen,,,,,,40,40,
Jakarta Utara,Cilincing,Cilincing,Musholla Nur Baitur Rahmah,Jl. Gg.Usaha No.9 Rt. 010/04,Tojib,Negara,1973,Permanen,,,,,,40,325,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Muttaqin,Jl. Cilingcing Rt. 005/06,Ir. Yan. M,Negara,1980,Permanen,,,,,,42,30,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Mujahidin,Jl. Raya Cilingcing No.46 Rt. 002/03,Suparman,Negara,1965,Permanen,,,,,,49,100,
Jakarta Utara,Cilincing,Cilincing,Musholla Baitul Muslimin,Jl. Bhakti No.14 Rt. 007/06,Encep,Negara,1969,Permanen,,,,,,55,42,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Husna,Jl. Raya Cilincing No.30 Rt.002/08,Nurhasan B Y Deing,Negara,1990,Permanen,,,,,,56,130,
Jakarta Utara,Cilincing,Cilincing,Musholla As Sadikin,Jl. Cilingcing Rt. 001/03,Husin,Negara,1990,Permanen,,,,,,70,70,
Jakarta Utara,Cilincing,Cilincing,Musholla Nurul Fatahillah,Jl. Cilingcing Rt. 010/08,,Negara,1978,Permanen,,,,,,70,56,
Jakarta Utara,Cilincing,Cilincing,Musholla At-Taubah,Jl. Raya Cilincing No.88 Rt. 008/04,Daman Huri,Negara,1974,Permanen,,,,,,70,100,
Jakarta Utara,Cilincing,Cilincing,Musholla Attholibin,Jl. Cilingcing Rt. 009/02,Akhiyas,Negara,1970,Permanen,,,,,,70,70,
Jakarta Utara,Cilincing,Cilincing,Musholla Jamiatul Khair,Jl. Rekreasi Gg Amd Rt.008/04,M. Sanudi,Negara,1990,Permanen,,,,,,77,414,
Jakarta Utara,Cilincing,Cilincing,Musholla Al-Mukhlisin,Jl. Cilingcing Rt. 008/08,Namin,Negara,1975,Permanen,,,,,,80,56,
Jakarta Utara,Cilincing,Cilincing,Masjid Al-Munawaroh,Jl. Bulak Cabe No. 20 Rt. 004/09,Caswin,Negara,1982,Permanen,,,,,,95,200,
Jakarta Utara,Cilincing,Cilincing,Musholla As-Sobar,Jl. Kelapa Dua No. 14 Rt. 005/03,Djunaedi,Negara,1969,Permanen,,,,,,96,300,
Jakarta Utara,Cilincing,Cilincing,Musholla Nurul Amal,Jl. Cilingcing Rt. 015/03,Said,Negara,1962,Permanen,,,,,,102,90,
